Що де лежить в атласі. Рядок-стовпець -> файл.

00-00  0.png  124x132
00-01  1.png  148x179
00-02  2.png  173x174
00-03  3.png  172x175
00-04  4.png  172x170
00-05  5.png  172x173
00-06  6.png  183x184
00-07  7.png  172x170
00-08  8.png  174x177
00-09  9.png  160x177
01-00  10.png  172x173
01-01  11.png  172x173
01-02  12.png  168x181
01-03  13.png  152x177
01-04  14.png  172x175
01-05  15.png  171x169
01-06  16.png  171x173
01-07  17.jpg  171x168
01-08  18.jpg  170x168
01-09  19.jpg  170x169
02-00  20.jpg  171x169
02-01  21.jpg  171x169
02-02  22.jpg  171x169
02-03  23.jpg  189x168
02-04  24.jpg  190x169
02-05  25.jpg  171x170
02-06  26.jpg  172x169
02-07  27.jpg  172x168
02-08  28.jpg  172x169
02-09  29.jpg  171x169
03-00  30.jpg  171x169
03-01  31.jpg  172x173
03-02  32.jpg  173x175
03-03  33.jpg  172x174
03-04  34.jpg  172x175
03-05  35.jpg  171x170
03-06  36.jpg  172x173
03-07  37.jpg  173x173
03-08  38.jpg  172x174
03-09  39.jpg  172x170
04-00  40.jpg  171x170
04-01  41.jpg  172x170
04-02  42.png  172x175
04-03  43.png  172x175
04-04  44.png  173x174
04-05  45.png  172x174
04-06  46.png  172x175
04-07  47.png  172x178
04-08  48.png  172x173
04-09  49.png  172x173
05-00  image_2026-09-07_06-11-47.png  172x173
